IATA;nom de la compagnie;Nom complet;poid cabine;Taille du bagage à main;taille soute;Poids max. autorisé des bagages en soute; Services à bord;WIFI;Alliance;numéro de téléphone;Site Web;Nationalité;Aéroport de base;Siège Social ;Date de création;fin d'activité;PONCTUALITÉ momondo;VOLS RETARDÉS momondo;VOLS ANNULÉS momondo;Age moyen de la flotte;taille de la flotte;programme de fidelité;avion 1;quantité 1;avion 2;quantité 2;avion 3;quantité 3;avion 4;quantité 4;avion 5;quantité 5;avion 6;quantité 6;avion 7;quantité 7;avion 8;quantité 8;avion 9;quantité 9;avion 10;quantité 10;avion 11;quantité 11;avion 12;quantité 12;avion 13;quantité 13;avion 14;quantité 14;avion 15;quantité 15
K6;Cambodia Angkor Air;;;;;;  ;NON;;855 23 6666786;cambodiaangkorair.com;;Phnom Penh (PNH) ;;2009;;;;;4.6 ;6;; Airbus A321-200 ;4; ATR 42/72-ATR 72 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
KA;Dragonair;;5kgs;56cm x 35cm x 23cm ;;20 kg; Repas et boissons inclus dans le billet  ;NON;;85227473333;dragonair.com;Hong Kong;Hong Kong (HKG) ;Hong Kong;31168;;;;;10;35;; Airbus A320-200 ;13; Airbus A321-200 ;6; Airbus A330-300 ;16;;;;;;;;;;;;;;;;;;;;;;;;
KB;Druk Air - Royal Bhutan Airlines;;;;;;  ;NON;;+975 8 271856;drukair.com.bt;;;;29681;;;;;10.1 ;4;; ATR 42/72-ATR 42 ;1; Airbus A319-100 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
KC;Air Astana;;8kgs;56cm x 45cm x 25cm ;;20 kg;  ;NON;;+33 1 70 64 46 77;airastana.com;Kazakhstan;Aéroport International d'Almaty;Almaty, Kazakhstan;;;;;;7.3 ;33;; Airbus A319-100 ;1; Airbus A320-200 ;10; Airbus A321-200 ;4; Boeing 757-200 ;5; Boeing 767-300 ;4; Embraer ERJ-190 ;9;;;;;;;;;;;;;;;;;;
KE;Korean Air;;12 kg;55 x 40 x 20 cm;158 cm cumulés;20 kg; Repas et boissons inclus dans le billet  ;NON;Skyteam;800916000;koreanair.com;Corée du Sud;Séoul - Incheion (ICN) ;Séoul, Corée du Sud;1962;;;;;9.7 ;148;Skypass ; Airbus A300-600 ;7; Airbus A330-200 ;7; Airbus A330-300 ;16; Airbus A380-800 ;5; Boeing 737-700 ;1; Boeing 737-800 ;20; Boeing 737-900 ;19; Boeing 747-400 ;39; Boeing 747-8 ;1; Boeing 777-200 ;19; Boeing 777-300 ;13; Eurocopter EC135 ;1;;;;;;
KF;Blue1;Blue1 Oy ;;55x40x23cm;;23 kg; En classe Blue1 Premium, un repas (+boisson) est offert. Tous les services sont payants.  ;NON;;+33(0)892390160;http://www.blue1.com;Finlande;Helsinki (HEL) ;Aéroport d'Helsinki-Vantaa;1987;;;;;9.4 ;13;; ATR 42/72-ATR 72 ;3; Boeing 717-200 ;9; Saab 2000-Saab 2000 ;1;;;;;;;;;;;;;;;;;;;;;;;;
KK;Atlasjet;;8kgs;56cm x 45cm x 25cm ;;20 kg;  ;NON;;+90 212 398 06 00;atlasglb.com;Turquie;Istanbul Ataturk Airport;Istanbul / Turquie;;;;;;13.8 ;18;; Airbus A319-100 ;1; Airbus A320-200 ;4; Airbus A321-100 ;2; Airbus A321-200 ;11;;;;;;;;;;;;;;;;;;;;;;
KL;KLM;Koninklijke Luchtvaart Maatschappij/Air France-KLM group ;12 kg;55 x 35 x 25 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;OUI;Skyteam;+33 1 71 23 00 17;klm.com/home/fr/fr;Pays-Bas;Amsterdam - Schiphol (AMS) ;Amstelveen;7220;;0,75;0,09;0,01;9.4 ;116;; Airbus A330-200 ;11; Airbus A330-300 ;3; Boeing 737-700 ;18; Boeing 737-800 ;23; Boeing 737-900 ;5; Boeing 747-400 ;26; Boeing 777-200 ;15; Boeing 777-300 ;5; McDonnell-Douglas MD-11 ;10;;;;;;;;;;;;
KM;Air Malta;Air Malta PLC ;10 kg;55 x 40 x 20 cm;;20 kg;  ;NON;;08 26 10 22 23;airmalta.com;Malte;Malte (Luqa) (MLA) ;Luqa, Malte;26754;;;;;9;10;; Airbus A319-100 ;4; Airbus A320-200 ;6;;;;;;;;;;;;;;;;;;;;;;;;;;
KN;China United Airlines;;;;;;  ;NON;;18883581582;flycua.com;;;;1986;;;;;5.2 ;33;; Boeing 737-700 ;8; Boeing 737-800 ;25;;;;;;;;;;;;;;;;;;;;;;;;;;
KP;Asky Airlines;;;l=55 cm, L=25 cm, p=40 cm;;;  ;NON;;+228 22 23 05 05;flyasky.com;Togo;Lomé (LFW) ;Lomé;;;;;;5;7;; Boeing 737-700 ;3; De-Havilland-Canada DHC-8-400 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;
KQ;Kenya Airways;Kenya Airways Ltd. ;10 kg;55 x 38 x 20 cm;;23 kg; Repas et boissons inclus dans le billet  ;NON;Skyteam;3654;kenya-airways.com;Kenya;Nairobi - Jomo Kenyatta International (NBO) ;Airport North Road00501 Nairobi;28147;;;;;9.2 ;34;; Boeing 737-300 ;6; Boeing 737-700 ;4; Boeing 737-800 ;5; Boeing 767-300 ;6; Boeing 777-200 ;4; Embraer ERJ-170 ;5; Embraer ERJ-190 ;4;;;;;;;;;;;;;;;;
KR;Air Bishkek;;;;;;  ;NON;;;;;;;39120;;;;;23.2 ;1;; Airbus A320-200 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KS;Penair;;;;;;  ;NON;;;penair.com;;;;;;;;;17;2;; Saab 340-Saab 340 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KU;Kuwait Airways;;7 kg;56 x 36 x 23 cm;115 cm cumulés;20 kg; Repas et boissons inclus dans le billet  ;NON;;+33 1 47207515;kuwaitairways.com;Koweït;Koweït (KWI) ;Kuwait Airways, 394-Safat 13004 Koweït;19784;;;;;18.4 ;18;Oasis Club ; Airbus A300-600 ;5; Airbus A310-300 ;3; Airbus A320-200 ;3; Airbus A340-300 ;4; Boeing 747-400 ;1; Boeing 777-200 ;2;;;;;;;;;;;;;;;;;;
KX;Cayman Airways;;;157 cm;;23 kg;  ;NON;;13459498200;caymanairways.com;Etats Unis;Georgetown Owen Roberts International;PO Box 10092, 91 Owen Roberts Drive, Grand Ca;;;;;;19.8 ;4;; Boeing 737-300 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KY;Kunming Airlines;;;;;;  ;NON;;8,68717E+11;airkunming.com;;;;2005;;;;;6.2 ;14;; Boeing 737-700 ;5; Boeing 737-800 ;9;;;;;;;;;;;;;;;;;;;;;;;;;;
L5;Lufttransport;Lufttransport AS ;;;;;  ;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L6;Mauritania Airlines International;;;;;;  ;NON;;+222 45 25 67 47;mauritaniaairlines.mr;;;;2010;;;;;14.4 ;3;; Boeing 737-500 ;2; Boeing 737-700 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
LA;LAN Airlines;;8 kg;55 x 35 x 25 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;NON;;821231554;latam.com;Chili;Santiago du Chili (SCL) ;Santiago;38238;;;;;5.7 ;93;LanPass ; Airbus A318-100 ;10; Airbus A319-100 ;24; Airbus A320-200 ;26; Airbus A340-300 ;5; Boeing 767-300 ;27;;;;;;;;;;;;;;;;;;;;
LB;Air Costa;;;;;;  ;NON;;+359 (0) 2 4020 362;;;;;2012;;;;;5.6 ;4;; Embraer ERJ-170 ;2; Embraer ERJ-190 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
LC;ECAir;Equatorial Congo Airlines Limited ;8 kg;55 x 40 x 20 cm;158 cm cumulés;23 kg;  ;NON;;;;;Brazzaville (BZV) ;;40810;;;;;20.8 ;4;; Boeing 737-300 ;2; Boeing 757-200 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
LG;Luxair;Luxair Société Luxembourgeoise de Navigation Aérienne SA ;7 kg;55 x 35 x 16 cm;158 cm cumulés;20 kg;  ;NON;;80024564242;luxair.lu;Luxembourg;Luxembourg (LUX) ;Luxembourg;1961;;;;;4.7 ;18;; Boeing 737-700 ;3; Boeing 737-800 ;2; De-Havilland-Canada DHC-8-400 ;7; Embraer ERJ-145 ;6;;;;;;;;;;;;;;;;;;;;;;
LH;Lufthansa;Deutsche Lufthansa AG ;8 kg;55 x 40 x 23 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;OUI;Star Alliance;892231690;lufthansa.fr;;Francfort (FRA) ;;9503;;;;;13;291;Miles & More ; Airbus A319-100 ;27; Airbus A320-200 ;47; Airbus A321-100 ;20; Airbus A321-200 ;40; Airbus A330-300 ;17; Airbus A340-300 ;25; Airbus A340-600 ;24; Airbus A380-800 ;9; Boeing 737-300 ;29; Boeing 737-500 ;22; Boeing 747-400 ;28; Boeing 747-8 ;1;;;;;;
LI;LIAT;Leeward Islands Air Transport Services ;;66x66x25cm;;23kg;  ;NON;;;liatairline.com;Antilles néerlandaises;Antigua-et-Barbuda;Aéroport d'Antigua-et-Barbuda;20718;;;;;13.9 ;19;; ATR 42/72-ATR 42 ;3; ATR 42/72-ATR 72 ;4; De-Havilland-Canada DHC-8-100 ;1; De-Havilland-Canada DHC-8-300 ;9;;;;;;;;;;;;;;;;;;;;;;
LJ;Jin Air;Jin Air Co. Ltd ;;;;;  ;NON;;+82 2 1600 6200;jinair.com;;;;39630;;;;;11.4 ;19;; Boeing 737-800 ;16; Boeing 777-200 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
LL;Miami Air International;;;;;;  ;NON;;;;;;;33512;;;;;15.2 ;6;; Boeing 737-400 ;2; Boeing 737-800 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;
LN;Libyan Airlines;Kingdom of Libya Airlines [1964-1969]<br>Libyan Arab Airlines (LAA) [1969-2006]<br>Libyan Airlines [since 2006] ;;;;;  ;NON;;;ln.aero;;Tripoli (TIP) ;;1964;;;;;4.4 ;20;; Airbus A320-200 ;8; Airbus A330-200 ;2; ATR 42/72-ATR 42 ;2; Canadair CRJ-900 ;7;;;;;;;;;;;;;;;;;;;;;;
LO;Lot Polish Airlines;Polskie Linie Lotnicze LOT S.A. ;10kg;55 x 40 x 23 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;NON;Star Alliance;800101224;lot.com;Pologne;Varsovie - F. Chopin (WAW) ;Varsovie, Pologne;10594;;0,81;0,08;0,01;9.5 ;42;; Boeing 737-400 ;7; Boeing 737-500 ;2; Boeing 767-300 ;4; Embraer ERJ-170 ;10; Embraer ERJ-175 ;14; Embraer ERJ-195 ;4;;;;;;;;;;;;;;;;;;
LR;LACSA Lineas Aereas Costarrice;;;25 cm x 55 cm x 35 cm;;32 kg;  ;NON;;18002842622;avianca.com;Costa Rica;Aéroport international Juan Santamaría de San José;San José, Costa Rica;;;;;;;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LS;Jet2.com;;10 kg;56 x 45 x 25 cm;;22 kg; Tous les services sont payants  ;NON;;821230203;jet2.com;;Leeds/Bradford (LBA) ;;2002;;;;;22.3 ;42;myJet2 ; Boeing 737-300 ;25; Boeing 737-800 ;4; Boeing 757-200 ;12;;;;;;;;;;;;;;;;;;;;;;;;
LT;LTU International;LTU International Airways ;7 kg;55 x 40 x 20 cm;;20 kg; Tous les services sont payants  ;NON;;;;;Düsseldorf - International (DUS) ;;20382;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LW;Pacific Wings;;;;;;  ;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LX;Swiss International Air Lines;Swiss International Air Lines ;10kg;55 x 40 x 23 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;OUI;Star Alliance;+33 892 23 25 01;swiss.fr;Suisse;Zurich (ZRH) ;Bâle;37346;;0,79;0,1;0,01;11.5 ;85;; Airbus A319-100 ;7; Airbus A320-200 ;24; Airbus A321-100 ;6; Airbus A321-200 ;1; Airbus A330-300 ;12; Airbus A340-300 ;15; British-Aerospace Avro RJ100 ;20;;;;;;;;;;;;;;;;
LY;El Al;El Al Israel Airlines Ltd ;8kgs;56cm x 45cm x 25cm ;;32 kg; Repas et boissons inclus dans le billet  ;NON;;01 40 20 90 90;elal.co.il;Israël;Tel Aviv - Ben-Gurion (TLV) ;District de Tel Aviv;1948;;;;;12.8 ;39;Matmid Club ; Boeing 737-700 ;2; Boeing 737-800 ;14; Boeing 747-400 ;7; Boeing 757-200 ;2; Boeing 767-200 ;2; Boeing 767-300 ;6; Boeing 777-200 ;6;;;;;;;;;;;;;;;;
LZ;Belle Air;Belle Air Sh. p.k. ;7 kg;;;20 kg;  ;NON;;;;;Tirana (TIA) ;;38473;;;;;11.1 ;8;; Airbus A319-100 ;2; Airbus A320-200 ;3; ATR 42/72-ATR 72 ;2; McDonnell-Douglas MD-82 ;1;;;;;;;;;;;;;;;;;;;;;;
M3;North Flying;;;;;;  ;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M9;Motor-Sich;;;;;;  ;NON;;;;;;;;;;;;12.7 ;1;; Antonov An-140 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MA;Malev Hungarian Airlines;Magyar Légiközlekedési Vállalat ;;55 x 40 x 20 cm;;32kg; Repas et boissons inclus dans le billet  ;NON;;;http://www.malev.hu/index_en.htm;Hongrie;Budapest (BUD) ;Budapest;16890;40942;;;;8.4 ;22;Duna Club ; Boeing 737-600 ;6; Boeing 737-700 ;7; Boeing 737-800 ;5; De-Havilland-Canada DHC-8-400 ;4;;;;;;;;;;;;;;;;;;;;;;
MD;Air Madagascar;;12 kg;115 cm cumulés;158 cm cumulés;30 kg; Air Madagascar propose une cuisine malgache mais également européenne et asiatique.  ;NON;Vanilla Alliance;+261 20 22 510 00;airmadagascar.com;Madagascar;Antananarivo (TNR) ;Tananarive;;;;;;15.3 ;8;; Airbus A340-300 ;1; ATR 42/72-ATR 42 ;2; ATR 42/72-ATR 72 ;2; Boeing 737-300 ;2; Boeing 767-300 ;1;;;;;;;;;;;;;;;;;;;;
ME;MEA - Middle East Airlines;;10 kg;56 x 40 x 25 cm;;20 kg;  ;NON;Skyteam;01 42 66 93 93;mea.com.lb;Liban;Aéroport de Beyrouth;Beyrouth Liban;16588;;;;;4.6 ;17;; Airbus A320-200 ;11; Airbus A321-200 ;2; Airbus A330-200 ;4;;;;;;;;;;;;;;;;;;;;;;;;
MF;Xiamen Airlines;;;55 x 35 x 25 cm;;20 kg;  ;NON;Skyteam;8,65922E+11;xiamenair.com;Chine;Xiamen (XMN) ;Xiamen;30888;;;;;5.4 ;103;; Boeing 737-700 ;17; Boeing 737-800 ;80; Boeing 757-200 ;6;;;;;;;;;;;;;;;;;;;;;;;;
MH;Malaysia Airlines;;7 kg;56 x 36 x 23 cm;158 cm cumulés;30 kg; Repas et boissons inclus dans le billet  ;NON;OneWorld;60378433000;malaysiaairlines.com;Malaisie;Kuala Lumpur - International (KUL) ;Aéroport Sultan Abdul Aziz Shah;17288;;;;;11.2 ;111;Enrich ; Airbus A330-200 ;7; Airbus A330-300 ;15; Airbus A380-800 ;1; Boeing 737-400 ;34; Boeing 737-800 ;25; Boeing 747-400 ;12; Boeing 777-200 ;17;;;;;;;;;;;;;;;;
MI;SilkAir;;;Total de 80cm;;23 kg;  ;NON;;6562238888;silkair.com;Singapour;Changi;Singapour;;;;;;6.7 ;26;; Airbus A319-100 ;6; Airbus A320-200 ;18; Boeing 737-800 ;2;;;;;;;;;;;;;;;;;;;;;;;;
MJ;Mihin Lanka;;;;;;  ;NON;;;;;;;39173;;;;;11.2 ;4;; Airbus A319-100 ;1; Airbus A320-200 ;1; Airbus A321-200 ;2;;;;;;;;;;;;;;;;;;;;;;;;
MK;Air Mauritius;;7 kg;115 cm cumulés;;32 kg; Repas et boissons inclus dans le billet  ;NON;Vanilla Alliance;890710315;airmauritius.com;Ile Maurice;Ile Maurice (MRU) ;Port Louis;24637;;;;;9.3 ;12;Kestrelflyer ; Airbus A319-100 ;2; Airbus A330-200 ;2; Airbus A340-300 ;6; ATR 42/72-ATR 72 ;2;;;;;;;;;;;;;;;;;;;;;;
ML;Air Mediterranee;;5 kg;55 x 40 x 20 cm;300 cm cumulés;20 kg;  ;NON;;0 826 460 730;http://www.air-mediterranee.fr/;France;Paris CDG et Orly, Lyon et Nantes;Juillan;;;;;;18.1 ;8;; Airbus A321-100 ;3; Airbus A321-200 ;2; Boeing 737-500 ;3;;;;;;;;;;;;;;;;;;;;;;;;
MM;Peach;Peach Aviation Limited ;10kgs;55cm x 40cm x 20cm;;;  ;NON;;;flypeach.com;;Osaka - Kansai (KIX) ;;40575;;;;;1.4 ;12;; Airbus A320-200 ;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MN;kulula;;7kgs;56cm x 36cm x 23cm ;;;  ;NON;;861585852;kulula.com;;Johannesbourg - Tambo (JNB) ;;;;;;;11.3 ;10;; Boeing 737-400 ;1; Boeing 737-800 ;9;;;;;;;;;;;;;;;;;;;;;;;;;;
MO;Calm Air International;;;;;;  ;NON;;12047786471;calmair.com;;;;;;;;;23.3 ;14;; ATR 42/72-ATR 42 ;8; ATR 42/72-ATR 72 ;4; Dornier Do-328JET ;2;;;;;;;;;;;;;;;;;;;;;;;;
MR;Hunnu Air;;;;;;  ;NON;;97670001111;;;Oulan Bator (ULN) ;;2011;;;;;19.2 ;5;; Airbus A319-100 ;2; Fokker F50 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
MS;Egyptair;;10kg;58 x 45 x 25 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;OUI;Star Alliance;3344948500;egyptair.com;Egypte;Le Caire (CAI) ;Paris, France;11847;;;;;9;63;EgyptAir Plus ; Airbus A320-200 ;13; Airbus A321-200 ;4; Airbus A330-200 ;7; Airbus A330-300 ;4; Airbus A340-200 ;2; Boeing 737-500 ;4; Boeing 737-800 ;18; Boeing 777-300 ;6;;;;;;;;;;;;;;
MT;Thomas Cook Airlines;;6kgs;55cm x 40cm x 20cm ;;; Offert   Un repas et une boisson ;NON;;4,48712E+11;thomascookairlines.com;;Bruxelles - National (BRU) ;;36404;;;;;13.8 ;36;; Airbus A320-200 ;7; Airbus A321-200 ;4; Airbus A330-200 ;3; Boeing 757-200 ;17; Boeing 757-300 ;2; Boeing 767-300 ;3;;;;;;;;;;;;;;;;;;
MU;China Eastern Airlines;;5 kg;55 x 40 x 20 cm;;23 kg; Repas et boissons inclus dans le billet  ;NON;Skyteam;01 44 86 03 00;nfr.ceair.com;Chine;Shanghaï - Hongqiao (SHA) ;Shanghai;32319;;0,62;0,13;0,04;7.3 ;300;EasternMiles ; Airbus A300-600 ;7; Airbus A300B4 ;3; Airbus A319-100 ;15; Airbus A320-200 ;126; Airbus A321-200 ;22; Airbus A330-200 ;10; Airbus A330-300 ;15; Airbus A340-300 ;1; Airbus A340-600 ;5; Boeing 737-300 ;16; Boeing 737-700 ;45; Boeing 737-800 ;20; Canadair CRJ-200 ;5; Embraer ERJ-145 ;10;;
MW;Maya Island Air;;;;;;  ;NON;;18662607070;mokuleleairlines.com;;Belize (BZE) ;;1962;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N4;Nordwind Airlines;;;;;;  ;NON;;+7 495 730 43 30;nordwindairlines.ru;;;;39569;;;;;13.6 ;19;; Airbus A321-200 ;7; Boeing 737-800 ;4; Boeing 767-300 ;5; Boeing 777-200 ;3;;;;;;;;;;;;;;;;;;;;;;
NE;Nesma Airlines;;;;;;  ;NON;;9,6692E+11;nesmaairlines.com;;Le Caire (CAI) ;;40360;;;;;10.9 ;3;; Airbus A320-200 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NF;Air Vanuatu;;;48cm*23cm*34cm;;23kg;  ;NON;;;airvanuatu.com;Vanuatu;Port Vila - Bauerfield (VLI) ;Port-Vila;1981;;;;;5.6 ;2;; ATR 42/72-ATR 72 ;1; Boeing 737-800 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
NG;Aero Contractors;Aero Contractors Company of Nigeria Limited ;;;;;  ;NON;;;;;;;1959;;;;;21;16;; Boeing 737-400 ;7; Boeing 737-500 ;6; De Havilland Canada DHC-8-300 ;1; De Havilland Canada DHC-8-400 ;2;;;;;;;;;;;;;;;;;;;;;;
NH;All Nippon Airways;;10 kg;55 x 40 x 25 cm;158 cm cumulés;23 kg;  ;OUI;Star Alliance;33820803212;ANA.co.jp;;;;19355;;;;;9.9 ;189;; Airbus A320-200 ;13; Boeing 737-700 ;13; Boeing 737-800 ;25; Boeing 767-300 ;56; Boeing 777-200 ;28; Boeing 777-300 ;26; Boeing 787-8 Dreamliner ;27;;;;;;;;;;;;;;;;
NI;Portugália;Companhia Portuguesa de Transportes Aéreos, S.A. ;;;;;  ;NON;;;;;;;32349;;;;;19.3 ;16;; ATR 42/72-ATR 42 ;2; Embraer ERJ-145 ;8; Fokker F100 ;6;;;;;;;;;;;;;;;;;;;;;;;;
NK;Spirit Airlines;Spirit Airlines, Inc. ;None;56cm x 46cm x 25cm;;20 kg; Tous les services sont payants  ;NON;;18014012222;spirit.com;Etats Unis;Fort Lauderdale (FLL) ;Miramar, Floride 33025;1980;;;;;4.5 ;41;Free Spirit ; Airbus A319-100 ;26; Airbus A320-200 ;13; Airbus A321-200 ;2;;;;;;;;;;;;;;;;;;;;;;;;
NM;Mount Cook Airline;;;;;;  ;NON;;;;;;;1920;;;;;8.6 ;21;; ATR 42/72-ATR 72 ;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NN;VIM Airlines;;;;;;  ;NON;;;;;;;;;;;;19;13;; Airbus A319-100 ;4; Boeing 757-200 ;8; Boeing 767-300 ;1;;;;;;;;;;;;;;;;;;;;;;;;
NO;Neos;;;;;;  ;NON;;;neosair.it;;Milan - Malpensa (MXP) ;;37064;;;;;12.2 ;8;; Boeing 737-800 ;6; Boeing 767-300 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
NP;Nile Air;;;;;;  ;NON;;226968080;nileair.com;;;;;;;;;8.3 ;4;; Airbus A320-200 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NS;Hebei Airlines;;;;;;  ;NON;;(+91) 95 95 333 333;hbhk.com.cn;;;;40358;;;;;4.9 ;14;; Boeing 737-700 ;2; Boeing 737-800 ;6; Embraer ERJ-190 ;6;;;;;;;;;;;;;;;;;;;;;;;;
NT;Binter Canarias;;;44 cm x 33 cm x 22 cm;;20 kg;  ;NON;;08 25 82 60 76;binternet.com;Espagne;Las Palmas;Las Palmas, Gran Canaria;32191;;;;;9;18;; ATR 42/72-ATR 72 ;17; Canadair CRJ-900 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
NU;Japan Transocean Air;;;;;;  ;NON;;8,1057E+11;jal.co.jp;;;;;;;;;17.2 ;13;; Boeing 737-400 ;12; Boeing 737-800 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
NX;Air Macau;;;56 cm x 36 cm x 23 cm;;30kg;  ;NON;;+886 2 2717 0377;airmacau.com.mo;Chine;Macao (MFM) ;Macao;34590;;;;;11.2 ;15;; Airbus A319-100 ;5; Airbus A320-200 ;3; Airbus A321-100 ;2; Airbus A321-200 ;5;;;;;;;;;;;;;;;;;;;;;;
NY;Flugfelag Islands - Air Iceland;;;;;;  ;NON;;3545703030;airiceland.is;;;;1997;;;;;21.1 ;7;; De-Havilland-Canada DHC-8-200 ;2; Fokker F50 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;
NZ;Air New Zealand;Air New Zealand Limited ;10kgs;55cm x 40cm x 20cm ;;; Repas et boissons inclus dans le billet. Uniquement pour les vols internationaux.  ;NON;Star Alliance;0800 90 77 12;airnewzealand.com;;Auckland - International (AKL) ;;14458;;;;;9.3 ;50;Airpoints ; Airbus A320-200 ;17; Boeing 737-300 ;13; Boeing 747-400 ;2; Boeing 767-300 ;5; Boeing 777-200 ;8; Boeing 777-300 ;5;;;;;;;;;;;;;;;;;;
O4;Antrak Air;;;;;;  ;NON;;;;;;;37865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O6;Avianca Brasil;Oceanair Linhas Aereas Ltda. ;;;;;  ;NON;;8002866543;avianca.com.br;;;;40264;;;;;3.9 ;48;; Airbus A318-100 ;15; Airbus A319-100 ;4; Airbus A320-200 ;29;;;;;;;;;;;;;;;;;;;;;;;;
OA;Olympic Air;;8 kg;55 x 40 x 23 cm;60 x 55 x 43 cm;20 kg;  ;NON;;+30 210 35 50 500;olympicair.com;Grèce;Athènes (ATH) ;Athènes;40085;;;;;12;15;; Airbus A319-100 ;1; De-Havilland-Canada DHC-8-100 ;4; De-Havilland-Canada DHC-8-400 ;10;;;;;;;;;;;;;;;;;;;;;;;;
OB;Boliviana de Aviación (BoA);;;;;;  ;NON;;901-105010;boa.bo;;;;;;;;;21.1 ;12;; Boeing 737-300 ;10; Boeing 737-500 ;1; Boeing 767-200 ;1;;;;;;;;;;;;;;;;;;;;;;;;
OD;Malindo Air;;;;;;  ;NON;;60378415388;malindoair.com;;Kuala Lumpur - International (KUL) ;;2013;;;;;1.4 ;19;; ATR 42/72-ATR 72 ;11; Boeing 737-800 ;2; Boeing 737-900 ;6;;;;;;;;;;;;;;;;;;;;;;;;
OF;Air Finland;;5 kg;55 x 40 x 20 cm;;20 kg; Tous les services sont payants  ;NON;;;;;Helsinki (HEL) ;;;;;;;17.8 ;3;; Boeing 757-200 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OG;Air Onix;;;;;;  ;NON;;;;;;;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OH;Comair;;;;;;  ;NON;;;;;Johannesbourg - Tambo (JNB) ;;16057;;;;;24.3 ;17;; Boeing 737-300 ;7; Boeing 737-400 ;9; Boeing 737-800 ;1;;;;;;;;;;;;;;;;;;;;;;;;
OK;CZECH Airlines;Czech Airlines j.s.c.| _eské aerolinie, a.s. ;8 kg;55 x 45 x 25 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;NON;;4,20239E+11;czechairlines.com;;Prague (PRG) ;;8680;;;;;9.2 ;31;OK Plus ; Airbus A319-100 ;9; Airbus A320-200 ;7; Airbus A321-200 ;2; ATR 42/72-ATR 42 ;7; Boeing 737-500 ;5;;;;;;;;;;;;;;;;;;;;
OM;MIAT - Mongolian Airlines;;;;;;  ;NON;;+976 11 328268;miat.com;;Oulan Bator (ULN) ;;1954;;;;;11.2 ;4;; Boeing 737-800 ;2; Boeing 767-300 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
OO;SkyWest Airlines;;None;56cm x 35cm x 23cm ;;;  ;NON;;;;;;;1972;;;;;7;350;; Canadair CRJ-100 ;12; Canadair CRJ-200 ;158; Canadair CRJ-700 ;98; Canadair CRJ-900 ;36; Embraer ERJ-175 ;46;;;;;;;;;;;;;;;;;;;;
OR;ArkeFly;;;;;;  ;NON;;3109008847;tui.nl;;Amsterdam - Schiphol (AMS) ;;;;;;;10;10;; Boeing 737-800 ;5; Boeing 767-300 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;
